TEAM,MATCH UP,GAME DATE,Win/Loss,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Plus/Minus
GSW,GSW @ HOU,5/4/2019,L,265,121,42,95,44.2,14,33,42.4,23,29,79.3,7,28,35,27,6,6,8,22,-5
GSW,GSW @ POR,5/20/2019,W,265,119,46,99,46.5,12,39,30.8,15,19,78.9,15,41,56,30,10,5,15,17,2
GSW,GSW @ HOU,5/10/2019,W,240,118,42,85,49.4,16,38,42.1,18,23,78.3,10,25,35,25,9,7,17,19,5
GSW,GSW vs. POR,5/16/2019,W,240,114,42,82,51.2,9,29,31,21,27,77.8,12,38,50,30,4,9,16,21,3
GSW,GSW vs. HOU,4/28/2019,W,240,104,38,75,50.7,7,22,31.8,21,27,77.8,8,30,38,24,7,3,20,24,4
GSW,GSW vs. HOU,5/8/2019,W,240,104,39,85,45.9,13,37,35.1,13,18,72.2,12,30,42,28,6,1,15,19,5
GSW,GSW @ TOR,6/10/2019,W,240,106,38,82,46.3,20,42,47.6,10,14,71.4,6,31,37,27,5,7,16,22,1
GSW,GSW vs. TOR,6/13/2019,L,240,110,39,80,48.8,11,31,35.5,21,30,70,11,31,42,28,9,6,17,23,-4
GSW,GSW @ HOU,5/6/2019,L,240,108,42,90,46.7,8,33,24.2,16,23,69.6,8,35,43,24,6,2,11,21,-4
GSW,GSW vs. TOR,6/7/2019,L,240,92,35,78,44.9,8,27,29.6,14,21,66.7,8,34,42,26,6,6,19,23,-13
DET,DET @ MIL,4/17/2019,L,240,99,37,99,37.4,12,36,33.3,13,17,76.5,11,32,43,23,5,7,9,21,-21
DET,DET vs. MIL,4/22/2019,L,240,104,41,100,41,13,34,38.2,9,12,75,10,26,36,26,8,1,11,31,-23
DET,DET vs. MIL,4/20/2019,L,240,103,37,96,38.5,11,36,30.6,18,24,75,15,29,44,21,9,6,9,24,-16
DET,DET @ MIL,4/14/2019,L,240,86,35,92,38,8,27,29.6,8,13,61.5,7,39,46,22,7,2,13,21,-35
DEN,DEN @ POR,5/9/2019,L,240,108,33,86,38.4,12,32,37.5,30,32,93.8,16,28,44,22,7,3,7,23,-11
DEN,DEN @ SAS,4/20/2019,W,240,117,40,89,44.9,15,31,48.4,22,24,91.7,11,34,45,25,4,2,8,22,14
